,Title,Year,tomatoMeter,tomatoRating,tomatoReviews,tomatoUserMeter,tomatoUserRating,tomatoUserReviews,imdbRating,imdbVotes,imdbID,Awards,Genre,Language,Country,Director,Rated,Runtime,Actors,Writer,Award_count,Noms_count,Noms+Awards,PrimaryLanguage,PrimaryCountry,PrimaryLangFixed,Crime,Drama,Thriller,Action,Adventure,Film_Noir,Mystery,Comedy,Family,Horror,Sci_Fi,Romance,Music,Fantasy,Western,War,Sport,History,Biography
46,Billy Jack Goes to Washington,1977,0.0,2.7,8.0,40.0,3.0,2020.0,4.5,482.0,tt0075754,N/A,"Drama, Thriller",English,USA,Tom Laughlin,NOT RATED,155.0,"Tom Laughlin, Delores Taylor, E.G. Marshall, Teresa Kelly","Tom Laughlin, Delores Taylor, Sidney Buchman (based on a screenplay by), Lewis R. Foster (story)",0,0,0,English,USA,English,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,The Birdcage,1996,79.0,6.7,47.0,80.0,3.3,104496.0,7.0,63832.0,tt0115685,Nominated for 1 Oscar. Another 6 wins & 21 nominations.,Comedy,English,USA,Mike Nichols,R,117.0,"Robin Williams, Gene Hackman, Nathan Lane, Dianne Wiest","Jean Poiret (play), Francis Veber (earlier screenplay), Édouard Molinaro (earlier screenplay), Marcello Danon (earlier screenplay), Jean Poiret (earlier screenplay), Elaine May (screenplay)",6,22,28,English,USA,English,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
48,Black Caesar,1973,58.0,5.8,12.0,65.0,3.3,3029.0,6.4,2253.0,tt0069792,N/A,"Action, Crime, Drama",English,USA,Larry Cohen,R,87.0,"Fred Williamson, Gloria Hendry, Art Lund, D'Urville Martin",Larry Cohen,0,0,0,English,USA,English,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,Black Christmas,2006,,,,,,85.0,4.5,20229.0,tt0454082,1 nomination.,Horror,English,"USA, Canada",Glen Morgan,R,84.0,"Katie Cassidy, Michelle Trachtenberg, Mary Elizabeth Winstead, Lacey Chabert","Glen Morgan (screenplay), Roy Moore",0,1,1,English,USA,English,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
50,Blame It on Rio,1984,9.0,2.9,22.0,40.0,2.8,6753.0,5.7,8149.0,tt0086973,1 nomination.,"Comedy, Romance",English,USA,Stanley Donen,R,100.0,"Michael Caine, Joseph Bologna, Valerie Harper, Michelle Johnson","Charlie Peters (screenplay), Larry Gelbart (screenplay)",0,1,1,English,USA,English,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
51,The Blob,1988,61.0,5.8,18.0,55.0,2.9,22233.0,6.4,23564.0,tt0094761,6 nominations.,"Horror, Sci-Fi, Thriller",English,USA,Chuck Russell,R,95.0,"Kevin Dillon, Shawnee Smith, Donovan Leitch Jr., Jeffrey DeMunn","Theodore Simonson (earlier screenplay), Kay Linaker (earlier screenplay), Irvine H. Millgate (story), Chuck Russell (screenplay), Frank Darabont (screenplay)",0,6,6,English,USA,English,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
52,Blood Diner,1987,40.0,4.1,5.0,51.0,3.3,862.0,5.1,2768.0,tt0092669,N/A,"Comedy, Horror",English,USA,Jackie Kong,UNRATED,88.0,"Rick Burks, Carl Crew, Roger Dauer, LaNette La France",Michael Sonye (screenplay),0,0,0,English,USA,English,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
53,The Blue Angel,1959,,,,17.0,2.7,7.0,6.2,232.0,tt0052638,N/A,Drama,English,USA,Edward Dmytryk,N/A,107.0,"Curd Jürgens, May Britt, Theodore Bikel, John Banner","Nigel Balchin, Robert Liebmann, Heinrich Mann (novel), Karl Vollmöller, Carl Zuckmayer",0,0,0,English,USA,English,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,Bored of Education,1936,,,,,,,7.3,148.0,tt0027385,N/A,"Comedy, Family, Short",English,USA,Gordon Douglas,APPROVED,10.0,"Darla Hood, Eugene 'Porky' Lee, George 'Spanky' McFarland, Carl 'Alfalfa' Switzer",Jack Jevne (story),0,0,0,English,USA,English,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
55,Born Yesterday,1993,26.0,3.8,23.0,27.0,2.6,5977.0,5.1,3177.0,tt0106466,1 nomination.,"Comedy, Romance",English,USA,Luis Mandoki,PG,100.0,"Melanie Griffith, John Goodman, Don Johnson, Edward Herrmann","Garson Kanin (play), Douglas McGrath (screenplay)",0,1,1,English,USA,English,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
